#	  src	         l           b         nhi(e20) nhi_er  thin    thin_er  cnm    cnm_er	  wnm	 wnm_er
==============================================================================================================
0 	 3C33       	129.4481   -49.3244	3.6559	0.0544	3.5581	0.0857	2.2195	0.0306	1.4364	0.0450
1 	 3C18       	118.6218   -52.7266	7.7497	1.2301	6.5225	0.0397	6.8047	1.2281	0.9450	0.0707
2 	 3C141.0    	174.5324   -1.3112	66.6549	1.8857	51.5374	0.6757	30.0519	1.5939	36.6030	1.0075
3 	 3C142.1    	197.6157   -14.5115	27.8356	2.9043	21.7048	0.9149	10.3720	2.8302	17.4636	0.6516
4 	 3C138      	187.4052   -11.3437	25.5067	1.2566	22.0281	0.3023	13.9777	1.1461	11.5290	0.5151
5 	 3C75-2     	170.2958   -44.9192	10.4994	0.2677	9.8020	1.0821	2.8260	0.2326	7.6734	0.1325
6 	 3C75-1     	170.2162   -44.9112	10.1845	0.2557	9.4857	1.2558	2.7253	0.2264	7.4592	0.1188
7 	 3C409      	63.3985   -6.1223	32.9380	1.4132	26.7085	0.2843	8.0656	1.2264	24.8724	0.7023
8 	 3C33-1     	129.4392   -49.3432	3.6764	0.1519	3.5146	1.0563	2.5928	0.1185	1.0836	0.0951
9 	 3C79       	164.1487   -34.4565	12.1505	1.3001	10.8650	0.8578	9.0509	0.9765	3.0996	0.8583
10 	 3C78       	174.8581   -44.5130	13.0770	0.5956	11.4040	0.2260	7.7220	0.5777	5.3550	0.1450
11 	 3C98-1     	179.8593   -31.0859	13.2868	0.4300	12.3295	0.9274	7.7680	0.4070	5.5188	0.1387
12 	 3C75       	170.2558   -44.9111	10.0852	0.2223	9.3856	0.1005	3.2812	0.1975	6.8040	0.1020
13 	 T0526+24   	181.3551   -5.1933     121.7353 81.9337	39.1362	1.0195	88.5595	81.9148	33.1758	1.7603
14 	 3C133      	177.7258   -9.9125	36.2036	1.9112	29.7150	0.1328	12.0746	1.7756	24.1290	0.7072
15 	 3C132      	178.8598   -12.5219	30.1577	1.6193	25.2278	0.2187	9.7961	1.4881	20.3616	0.6383
16 	 3C131      	171.4368   -7.7967	36.0659	2.0700	28.1497	0.6086	14.3057	1.8375	21.7602	0.9531
17 	 3C310      	38.5004   60.2098	4.7873	0.1203	4.3868	0.0733	1.5113	0.0978	3.2760	0.0702
18 	 3C315      	39.3605   58.3030	6.0966	0.4818	5.1819	0.0544	2.8836	0.2604	3.2130	0.4054
19 	 3C109      	181.8280   -27.7769	26.2884	1.2592	17.6075	0.7426	19.5978	0.9753	6.6906	0.7964
20 	 3C234      	200.2050   52.7049	2.0286	0.0551	2.0643	1.2706	0.0000	0.0000	2.0286	0.0551
21 	 3C236      	190.0640   53.9808	1.5246	0.0486	1.4889	1.3593	0.0000	0.0000	1.5246	0.0486
22 	 3C237      	232.1174   46.6276	3.1121	0.1022	2.5174	0.1227	2.2931	0.0410	0.8190	0.0936
23 	 3C154      	185.5932   4.0030	45.0342	1.7623	40.1168	0.1302	11.3670	1.7092	33.6672	0.4294
24 	 3C228.0    	220.8313   46.6355	3.3685	0.0551	3.3582	0.1991	0.5461	0.0296	2.8224	0.0465
25 	 4C22.12    	188.0524   0.0470      107.3345 19.1901	51.4181	0.3207	67.5437	18.6434	39.7908	4.5480
26 	 NRAO140    	159.0002   -18.7646	37.0890	22.9744	13.8298	1.0783	16.8408	8.0429	20.2482	21.5206
27 	 3C318      	29.9821   54.7856	6.0607	0.1923	5.3113	0.0708	2.2807	0.1824	3.7800	0.0609
28 	 3C64       	157.7658   -48.2032	8.1234	0.2258	7.6530	0.9257	3.8142	0.2046	4.3092	0.0957
29 	 3C454.0    	88.1001   -35.9413	6.9361	0.1395	6.6565	0.1218	1.7323	0.0647	5.2038	0.1236
30 	 P0531+19   	186.7634   -7.1085	30.3560	0.8178	28.0547	0.3491	12.3380	0.7714	18.0180	0.2718
31 	 3C454.3    	86.1110   -38.1833	8.6287	0.1646	8.0319	0.1131	2.5807	0.0786	6.0480	0.1446
32 	 3C33-2     	129.4620   -49.2774	3.8311	0.1986	3.6240	1.2619	2.5459	0.1562	1.2852	0.1226
33 	 P0820+22   	201.3636   29.6761	5.3298	0.2663	5.3209	1.1824	0.0000	0.0000	5.3298	0.2663
34 	 3C333      	37.3001   42.9721	6.4367	0.4208	5.6879	0.0542	1.4093	0.4081	5.0274	0.1027
35 	 3C192      	197.9126   26.4098	5.0686	0.0561	4.9891	0.0808	0.6586	0.0379	4.4100	0.0413
36 	 3C98       	179.8374   -31.0490	14.1470	0.5187	12.4884	1.4678	7.9478	0.5045	6.1992	0.1208
37 	 3C273      	289.9484   64.3586	2.7009	0.0274	2.5581	0.1358	0.8991	0.0208	1.8018	0.0178
38 	 3C267.0    	256.3418   70.1102	2.9358	0.0340	2.9277	0.3964	0.0000	0.0000	2.9358	0.0340
39 	 DW0742+10  	209.7960   16.5911	3.0618	0.0548	3.0723	1.0049	0.0000	0.0000	3.0618	0.0548
40 	 P1055+20   	222.5101   63.1302	2.1427	0.0572	1.9824	0.0765	0.6181	0.0490	1.5246	0.0295
41 	 3C433      	74.4772   -17.6950	10.1124	0.1881	9.8138	0.1000	3.7368	0.1688	6.3756	0.0829
42 	 3C172.0    	191.2045   13.4105	9.8970	0.1811	9.5051	1.2217	0.6864	0.0961	9.2106	0.1535
43 	 P0428+20   	176.8082   -18.5568	30.1459	3.1094	22.2467	0.7483	8.7385	3.0001	21.4074	0.8171
44 	 4C19.44    	8.9924   73.0418	3.3390	0.0566	3.3168	0.6757	0.0000	0.0000	3.3390	0.0566
45 	 3C353      	21.1108   19.8770	13.9494	0.9942	11.1269	0.2821	9.1110	0.9882	4.8384	0.1092
46 	 3C167      	207.3119   1.1529	63.6808	3.0472	54.1642	0.0677	39.2494	2.8935	24.4314	0.9555
47 	 3C293      	54.6071   76.0603	1.6128	0.0575	1.6325	1.2199	0.0000	0.0000	1.6128	0.0575
48 	 3C98-2     	179.8288   -31.0241	13.0943	0.5070	11.9771	1.3172	6.5549	0.4825	6.5394	0.1557
49 	 3C105      	187.6326   -33.6090	18.6765	1.8544	12.0033	0.7704	14.5689	1.8354	4.1076	0.2651
50 	 3C120      	190.3728   -27.3973	20.1142	2.3580	11.8713	0.1089	9.9838	1.8288	10.1304	1.4885
51 	 CTA21      	166.6357   -33.5961	12.1906	0.3947	11.1026	0.8544	4.0888	0.3795	8.1018	0.1087
52 	 3C123      	170.5815   -11.6608	34.8955	4.2614	19.8739	1.0666	9.9979	4.1528	24.8976	0.9561
53 	 4C20.33    	20.1848   66.8341	3.5248	0.0655	3.3850	0.2777	0.8032	0.0427	2.7216	0.0497
54 	 T0556+19   	190.0893   -2.1665	67.6729	40.1983	58.4122	0.9987	0.0991	0.0110	67.5738	40.1983
55 	 P1117+14   	240.4380   65.7884	1.9782	0.0223	1.9425	0.3294	0.0000	0.0000	1.9782	0.0223
56 	 3C264.0    	236.9959   73.6422	2.1798	0.0318	2.2173	0.4391	0.0000	0.0000	2.1798	0.0318
57 	 3C208.1    	213.6015   33.5830	3.4776	0.0658	3.5092	0.2013	0.0000	0.0000	3.4776	0.0658
58 	 3C208.0    	213.6628   33.1608	3.7674	0.0564	3.8400	0.2040	0.0000	0.0000	3.7674	0.0564
59 	 4C32.44    	67.2401   81.0438	1.3901	0.0471	1.4213	0.6565	0.2435	0.0322	1.1466	0.0344
60 	 3C263.1    	228.2701   74.3753	2.1168	0.0581	2.1082	0.3810	0.0000	0.0000	2.1168	0.0581
61 	 3C225b     	220.0116   44.0083	4.4062	0.0851	4.1053	0.0638	1.3570	0.0653	3.0492	0.0546
62 	 3C410      	69.2090   -3.7684	61.2413	4.3745	49.1655	1.6415	19.9385	4.2914	41.3028	0.8486
63 	 P0347+05   	182.2737   -35.7311	17.0210	0.9668	14.3416	0.8810	9.2342	0.9500	7.7868	0.1794
64 	 3C272.1    	280.6321   74.6873	3.1912	0.0507	3.0568	0.3820	0.6334	0.0400	2.5578	0.0312
65 	 3C225a     	219.8664   44.0247	4.4733	0.1943	4.2171	0.0494	2.0919	0.1922	2.3814	0.0287
66 	 4C07.32    	322.2286   68.8350	2.6962	0.0420	2.6159	0.3236	0.4408	0.0287	2.2554	0.0307
67 	 3C245      	233.1247   56.3009	2.6780	0.0470	2.6835	0.1675	0.7250	0.0375	1.9530	0.0283
68 	 3C93.1     	160.0361   -15.9147	15.5532	1.3153	12.1261	1.0273	4.4400	1.2448	11.1132	0.4247
69 	 3C348      	22.9710   29.1769	7.3034	0.2009	6.6708	0.0762	2.0870	0.1921	5.2164	0.0589
70 	 4C13.67    	43.4971   9.1540	21.3586	1.1032	17.2975	0.2088	5.2810	0.9362	16.0776	0.5836
71 	 3C286      	56.5295   80.6740	2.5704	0.1156	2.6551	2.9446	0.0000	0.0000	2.5704	0.1156
72 	 4C13.65    	39.3151   17.7180	11.7505	0.1851	10.9140	0.1527	2.0359	0.1682	9.7146	0.0772
73 	 3C190.0    	207.6242   21.8412	3.5532	0.0518	3.7057	1.0167	0.0000	0.0000	3.5532	0.0518
74 	 P0320+05   	176.9818   -40.8433	14.2490	0.6076	12.5968	0.9372	6.5000	0.4029	7.7490	0.4548
75 	 3C274.1    	269.8744   83.1637	3.0791	0.0496	2.8804	0.1513	0.4835	0.0332	2.5956	0.0369
76 	 3C207      	212.9680   30.1390	6.7158	0.1937	6.2321	0.1221	1.2474	0.1597	5.4684	0.1096
77 	 T0629+10   	201.5315   0.5079	75.1986	3.6064	56.9202	0.2148	47.1888	3.2501	28.0098	1.5630
78       3C223	        188.4071  48.65994       1.3131  1.6160  1.3131  1.6160  000.00  000.00  1.3131  1.6160
