#	src	    l              b          nhi(e20) nhi_er   thin    thin_er  cnm    cnm_er  wnm     wnm_er  
============================================= LowNHI: NHI < 3.0e20 cm-2 ======================================
1	3C33	129.4481	-49.3244	4.62	0.08	4.4974	0.1156	2.81	0.0462	1.82	0.0592
2	3C142.1	197.6157	-14.5115	35.18	3.68	27.4349	1.1825	13.11	3.5793	22.07	0.8472
3	3C138	187.405		-11.3434	26.43	2.89	21.7788	0.3457	6.01	2.8343	20.42	0.5825
4	3C78	174.8581	-44.5133	13.74	1.93	11.0369	0.468	3.81	1.9097	9.93	0.2685
5	3C310	38.5004		60.2098		6.05	0.16	5.5449	0.1052	1.91	0.1248	4.14	0.0962
6	3C315	39.3605		58.303		7.71	0.61	6.5499	0.0906	3.64	0.3308	4.06	0.5137
7	3C234	200.205		52.7049		2.56	0.07	2.6093	1.6062	0	0	2.56	0.0734
8	3C236	190.064		53.9808		1.93	0.06	1.882	1.7182	0	0	1.93	0.0638
9	NRAO140	159.0002	-18.7646	46.88	29.04	17.4809	1.372	21.29	10.168	25.59	27.203
10	P0531+19 186.7634	-7.1085		38.37	1.09	35.4611	0.5446	15.6	0.9851	22.77	0.4001
11	P0820+22 201.3636	29.6761		6.74	0.34	6.7256	1.4958	0	0	6.74	0.342
12	3C98	179.8374	-31.049		17.88	0.68	15.7853	1.8607	10.05	0.6441	7.84	0.1682
13	DW0742+10 209.796	16.5911		3.87	0.08	3.8834	1.2707	0	0	3.87	0.0775
14	3C172.0	191.2045	13.4105		12.51	0.26	12.0144	1.548	0.87	0.1217	11.64	0.2205
15	3C293	54.6071		76.0603		2.04	0.07	2.0635	1.5421	0	0	2.04	0.075
16	P1117+14 240.438	65.7884		2.5	0.04	2.4553	0.4169	0	0	2.5	0.0361
17	3C264.0	236.9959	73.6422		2.76	0.05	2.8027	0.5556	0	0	2.76	0.0472
18	3C208.1	213.6015	33.583		4.4	0.09	4.4356	0.2576	0	0	4.4	0.0921
19	3C208.0	213.6628	33.1608		4.76	0.08	4.8538	0.2615	0	0	4.76	0.0832
20	4C32.44	67.2335		81.0477		1.36	0.09	1.5775	0.1181	0.17	0.0869	1.19	0.0313
21	3C272.1	280.6321	74.6873		4.03	0.07	3.8638	0.4841	0.8	0.0511	3.23	0.049
22	3C245	233.1247	56.3009		3.38	0.07	3.3919	0.2139	0.92	0.0481	2.47	0.0421
23	3C348	22.971		29.1769		9.23	0.27	8.4319	0.1226	2.64	0.244	6.59	0.0952
24	3C286	56.5241		80.6747		1.34	0.09	1.4944	0.1101	0.06	0.0241	1.28	0.0876
25	3C190.0	207.6242	21.8412		4.49	0.08	4.684	1.2858	0	0	4.49	0.0769
26	3C274.1	269.8744	83.1637		3.89	0.07	3.6408	0.194	0.61	0.0423	3.28	0.0552
27	3C298	352.1602	60.6666		2.39	0.38	2.5657	0.0969	0.06	0.3694	2.33	0.0851
