# src (21)      l                 b             e(-t)_RMS               tau_rms         EM_RMS (K)
=======================================================================================================
2 3C105 	187.633 	-33.609 	0.0505953545742 	0.000818266 	0.0226051539556
3 3C109 	181.828 	-27.7769 	0.0542071598254 	0.000912486 	0.0383049802153
6 3C123 	170.581 	-11.6607 	0.676702462482 		0.00129847 	0.107288005572
7 3C131 	171.437 	-7.79669 	0.0477773221421 	0.00100088 	0.0257561511184
8 3C132 	178.86 		-12.5219 	0.0368870837647 	0.00073441 	0.0261676116963
9 3C133 	177.726 	-9.91241 	0.0577962606218 	0.000777624 	0.0691346665282
14 3C154 	185.593 	4.00309 	0.0837221357147 	0.00121596 	0.0485638443928
16 3C167 	207.312 	1.15292 	0.110255385844 		0.005613 	0.0805871482604
18 3C18 	118.622 	-52.7265 	0.045763188393 		0.000771895 	0.0292090469156
22 3C207 	212.968 	30.139 		0.0204073074624 	0.000493333 	0.0137403200328
52 3C409 	63.3983 	-6.12197 	0.128161201418 		0.000679605 	0.0456273578706
53 3C410 	69.2088 	-3.76807 	0.0787461602477 	0.000532251 	0.0385996391066
54 3C454.3 	86.1108 	-38.1831 	0.0744486617845 	0.000306314 	0.0232322552196
59 3C75 	170.256 	-44.9112 	0.0423206421524 	0.0010996 	0.029880578291
69 4C13.67 	43.4969 	9.15431 	0.242803157412 		0.0137032 	0.148767143405
74 4C22.12 	188.052 	0.0470513 	0.0545979993157 	0.00224361 	0.034655365239
79 G196.6+0.2 	196.64 		0.167617 	0.0613026011046 	0.00192565 	0.0403040495456
80 G197.0+1.1 	196.983 	1.10338 	0.0540345583494 	0.00145563 	0.0362507273167
87 P0428+20 	176.808 	-18.5568 	0.0437449118146 	0.000607032 	0.0260892414498
88 P0531+19 	186.763 	-7.10848 	0.0654372092716 	0.000636914 	0.0316739483713
94 T0526+24 	181.355 	-5.19333 	0.253305017252 		0.0191681 	0.195788718114
96 T0629+10 	201.532 	0.507878 	0.036433584201 		0.00102542 	0.0223999887965
