#	src	    l              b          nhi(e20) nhi_er   thin    thin_er  cnm    cnm_er  wnm     wnm_er  
============================================= LowNHI: NHI < 3.0e20 cm-2 ======================================
1	3C33	129.4481	-49.3244	3.66	0.05	3.5581	0.0857	2.22	0.0306	1.44	0.045	0.0231	0.0017	0.0722
4	3C142.1	197.6157	-14.5115	27.84	2.9	21.7048	0.9149	10.37	2.8302	17.46	0.6516	0.2816	0.0145	0.8998
5	3C138	187.405	-11.3434	26.43	2.89	21.7788	0.3457	6.01	2.8343	20.42	0.5825	0.2537	0.0171	0.7798
11	3C78	174.8581	-44.5133	13.74	1.93	11.0369	0.468	3.81	1.9097	9.93	0.2685	0.1479	0.0024	0.4573
18	3C310	38.5004	60.2098	4.79	0.12	4.3868	0.0733	1.51	0.0978	3.28	0.0702	0.0348	0.0015	0.1095
19	3C315	39.3605	58.303	6.1	0.48	5.1819	0.0544	2.88	0.2604	3.21	0.4054	0.053	0.0007	0.1654
21	3C234	200.205	52.7049	2.03	0.06	2.0643	1.2706	0	0	2.03	0.0551	0.0163	0.0003	0.0498
22	3C236	190.064	53.9808	1.52	0.05	1.4889	1.3593	0	0	1.52	0.0486	0.0097	0.0004	0.0293
23	3C237	232.1171	46.6273	2.6	0.23	2.614	0.07	0.17	0.1982	2.43	0.1119	0.0171	0.0004	0.0534
27	NRAO140	158.9996697	-18.7650247	37.09	22.97	13.8298	1.0783	16.84	8.0429	20.25	21.5206	0.6138	0.0762	1.9287
28	3C318	29.9821	54.7856	6.06	0.19	5.3113	0.0708	2.28	0.1824	3.78	0.0609	0.0539	0.0014	0.1679
29	3C64	157.7658	-48.2032	8.12	0.23	7.653	0.9257	3.81	0.2046	4.31	0.0957	0.0795	0.0033	0.2477
31	P0531+19	186.7634	-7.1085	30.36	0.82	28.0547	0.3491	12.34	0.7714	18.02	0.2718	0.3022	0.0085	0.9372
34	P0820+22	201.3636	29.6761	5.33	0.27	5.3209	1.1824	0	0	5.33	0.2663	0.0359	0.0011	0.1101
35	3C333	37.3001	42.9721	6.44	0.42	5.6879	0.0542	1.41	0.4081	5.03	0.1027	0.0756	0.0011	0.239
36	3C192	197.9126	26.4098	5.07	0.06	4.9891	0.0808	0.66	0.0379	4.41	0.0413	0.0471	0.0013	0.148
37	3C98	179.8374	-31.049	14.15	0.52	12.4884	1.4678	7.95	0.5045	6.2	0.1208	0.193	0.0054	0.6019
38	3C273	289.9509	64.36	2.37	0.19	2.5482	0.053	0.05	0.1901	2.32	0.0271	0.0179	0.0004	0.055
40	DW0742+10	209.796	16.5911	3.06	0.05	3.0723	1.0049	0	0	3.06	0.0548	0.0219	0.0005	0.0675
41	P1055+20	222.5101	63.1302	2.14	0.06	1.9824	0.0765	0.62	0.049	1.52	0.0295	0.0211	0.0008	0.0657
43	3C172.0	191.2045	13.4105	9.9	0.18	9.5051	1.2217	0.69	0.0961	9.21	0.1535	0.0566	0.0009	0.1781
48	3C293	54.6071	76.0603	1.61	0.06	1.6325	1.2199	0	0	1.61	0.0575	0.0137	0.0006	0.0446
51	3C120	190.3729	-27.3968	22.22	2.26	11.7434	0.1283	10.86	2.2433	11.36	0.2632	0.2554	0.0019	0.793
56	P1117+14	240.438	65.7884	1.98	0.02	1.9425	0.3294	0	0	1.98	0.0223	0.025	0.0007	0.0773
57	3C264.0	236.9959	73.6422	2.18	0.03	2.2173	0.4391	0	0	2.18	0.0318	0.0201	0.0004	0.0622
58	3C208.1	213.6015	33.583	3.48	0.07	3.5092	0.2013	0	0	3.48	0.0658	0.0269	0.0028	0.0804
59	3C208.0	213.6628	33.1608	3.77	0.06	3.84	0.204	0	0	3.77	0.0564	0.0287	0.0009	0.0902
60	4C32.44	67.2335	81.0477	1.36	0.09	1.5775	0.1181	0.17	0.0869	1.19	0.0313	0.0133	0.0004	0.0413
62	3C225b	220.0101	44.0084	4.55	0.21	4.171	0.0939	0.98	0.176	3.57	0.1148	0.046	0.0027	0.1462
65	3C272.1	280.6321	74.6873	3.19	0.05	3.0568	0.382	0.63	0.04	2.56	0.0312	0.034	0.0018	0.1065
66	3C225a	219.8662	44.0249	4.24	0.3	4.1902	0.1057	1.19	0.2965	3.05	0.0595	0.0467	0.0032	0.1451
68	3C245	233.1247	56.3009	2.68	0.05	2.6835	0.1675	0.72	0.0375	1.95	0.0283	0.0215	0.0008	0.0653
70	3C348	22.971	29.1769	7.3	0.2	6.6708	0.0762	2.09	0.1921	5.22	0.0589	0.0821	0.0013	0.2522
72	3C286	56.5241	80.6747	1.34	0.09	1.4944	0.1101	0.06	0.0241	1.28	0.0876	0.01	0.0005	0.0306
73	4C13.65	39.3151	17.718	11.75	0.19	10.914	0.1527	2.04	0.1682	9.71	0.0772	0.1189	0.0039	0.374
74	3C190.0	207.6242	21.8412	3.55	0.05	3.7057	1.0167	0	0	3.55	0.0518	0.0263	0.0009	0.0824
76	3C274.1	269.8744	83.1637	3.08	0.05	2.8804	0.1513	0.48	0.0332	2.6	0.0369	0.0252	0.0006	0.0766
85	3C298	352.1602	60.6666	2.39	0.38	2.5657	0.0969	0.06	0.3694	2.33	0.0851	0.0249	0.0008	0.0785
